# Calculated as GDP(PPP) / GDP(MER) in the base year (2010) for each region.  The
# table also contains PPP-GDP and MER-GDP in billions of 2005 USD for the base year, 
# because they were included in the original table, but I'm not sure they are used for, 
# or useful for, anything besides calculating the ratio.
GCAM_region_ID,MER,PPP,PPP_MER
1,15238.676184655633,14844.679,0.9741449204720052
2,208.95696477768024,398.984,1.9094075204647951
3,576.4127825735011,1240.07,2.1513575643889764
4,214.0704613170156,332.822,1.5547310822445792
5,688.6052604336579,876.8820000000001,1.2734175156428118
6,1396.5817070952155,1067.055,0.764047670522188
7,2124.6891498802024,2303.632,1.084220720066221
8,1638.1015691899506,1355.371,0.8274035172741077
9,361.01316545164843,551.344,1.5272130015265142
10,356.2662475128703,588.557,1.6520144810483013
11,8365.313338678037,14240.151000000002,1.702285428348385
12,1374.0123363613345,1997.326,1.4536448815949699
13,12485.036755502922,10873.828,0.8709488176081849
14,171.7075293532342,488.761,2.8464738957051097
15,1063.2997184668802,1301.583,1.2240979447231386
16,3472.9842878470813,2782.08,0.8010632267284525
17,2084.9096703512905,4978.692,2.387965325692566
18,897.9951604659112,1262.296,1.4056824085166304
19,5449.332281541893,4130.561,0.757993968176823
20,1111.8011809818518,1665.237,1.4977830825196634
21,2298.0509766876908,3201.265,1.3930348075281436
22,193.02962897526402,487.451,2.525265176065095
23,1506.9105584574345,2444.526,1.6222104134052693
24,380.6864568059591,570.256,1.49796765764816
25,276.18295860172867,387.347,1.4025014503468192
26,577.8865192761667,892.835,1.5450005670980573
27,252.8883470883447,526.995,2.083903849535219
28,1153.0470067204235,1597.625,1.385567969639049
29,1419.9110005873897,2407.172,1.6952978031751282
30,462.5895106770176,889.439,1.922739230939914
31,417.04351998218544,715.981,1.7168016422616614
32,326.36205547879587,491.259,1.5052577092005652
